[2026-09-08 00:10:39,309 ] 15 root - INFO - Initiate the data ingestion
[2026-09-08 00:10:49,094 ] 68 root - INFO - Performed train test split on the dataframe
[2026-09-08 00:10:49,094 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-09-08 00:10:49,094 ] 78 root - INFO - Exporting train and test file path.
[2026-09-08 00:10:49,143 ] 87 root - INFO - Exported train and test file path.
[2026-09-08 00:10:49,143 ] 17 root - INFO - Data Initiation Completed
[2026-09-08 00:10:49,143 ] 21 root - INFO - Initiate the data Validation
[2026-09-08 00:10:49,167 ] 34 root - INFO - Required number of columns:2
[2026-09-08 00:10:49,167 ] 35 root - INFO - Data frame has columns:31
[2026-09-08 00:10:49,167 ] 34 root - INFO - Required number of columns:2
[2026-09-08 00:10:49,167 ] 35 root - INFO - Data frame has columns:31
[2026-09-08 00:10:49,296 ] 23 root - INFO - Data Validation Completed
[2026-09-08 00:10:49,296 ] 26 root - INFO - DAta transformation Started
[2026-09-08 00:10:49,296 ] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-09-08 00:10:49,296 ] 62 root - INFO - Startin data transformation
[2026-09-08 00:10:49,319 ] 47 root - INFO - Enter get_data_transformer_object method of transformation class
[2026-09-08 00:10:49,319 ] 50 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-09-08 00:10:49,334 ] 43 root - INFO - Entered the save_object method of MainUtils class
[2026-09-08 00:10:49,337 ] 47 root - INFO - Exited the save_object method of MainUtils class
[2026-09-08 00:10:49,338 ] 30 root - INFO - data Transformation completed
