[2026-09-08 20:03:36,052 ] 16 root - INFO - Initiate the data ingestion
[2026-09-08 20:03:56,736 ] 68 root - INFO - Performed train test split on the dataframe
[2026-09-08 20:03:56,736 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-09-08 20:03:56,736 ] 78 root - INFO - Exporting train and test file path.
[2026-09-08 20:03:56,784 ] 87 root - INFO - Exported train and test file path.
[2026-09-08 20:03:56,784 ] 18 root - INFO - Data Initiation Completed
[2026-09-08 20:03:56,784 ] 22 root - INFO - Initiate the data Validation
[2026-09-08 20:03:56,810 ] 34 root - INFO - Required number of columns:2
[2026-09-08 20:03:56,810 ] 35 root - INFO - Data frame has columns:31
[2026-09-08 20:03:56,810 ] 34 root - INFO - Required number of columns:2
[2026-09-08 20:03:56,810 ] 35 root - INFO - Data frame has columns:31
[2026-09-08 20:03:56,970 ] 24 root - INFO - Data Validation Completed
[2026-09-08 20:03:56,970 ] 27 root - INFO - DAta transformation Started
[2026-09-08 20:03:56,970 ] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-09-08 20:03:56,970 ] 62 root - INFO - Startin data transformation
[2026-09-08 20:03:56,995 ] 47 root - INFO - Enter get_data_transformer_object method of transformation class
[2026-09-08 20:03:56,995 ] 50 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-09-08 20:03:57,009 ] 44 root - INFO - Entered the save_object method of MainUtils class
[2026-09-08 20:03:57,012 ] 48 root - INFO - Exited the save_object method of MainUtils class
[2026-09-08 20:03:57,013 ] 31 root - INFO - data Transformation completed
[2026-09-08 20:03:57,013 ] 33 root - INFO - Model Training sstared
