[2026-09-08 20:05:38,070 ] 16 root - INFO - Initiate the data ingestion
[2026-09-08 20:06:01,696 ] 68 root - INFO - Performed train test split on the dataframe
[2026-09-08 20:06:01,696 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-09-08 20:06:01,696 ] 78 root - INFO - Exporting train and test file path.
[2026-09-08 20:06:01,748 ] 87 root - INFO - Exported train and test file path.
[2026-09-08 20:06:01,748 ] 18 root - INFO - Data Initiation Completed
[2026-09-08 20:06:01,748 ] 22 root - INFO - Initiate the data Validation
[2026-09-08 20:06:01,775 ] 34 root - INFO - Required number of columns:2
[2026-09-08 20:06:01,775 ] 35 root - INFO - Data frame has columns:31
[2026-09-08 20:06:01,775 ] 34 root - INFO - Required number of columns:2
[2026-09-08 20:06:01,775 ] 35 root - INFO - Data frame has columns:31
[2026-09-08 20:06:01,906 ] 24 root - INFO - Data Validation Completed
[2026-09-08 20:06:01,906 ] 27 root - INFO - DAta transformation Started
[2026-09-08 20:06:01,906 ] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-09-08 20:06:01,906 ] 62 root - INFO - Startin data transformation
[2026-09-08 20:06:01,927 ] 47 root - INFO - Enter get_data_transformer_object method of transformation class
[2026-09-08 20:06:01,927 ] 50 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-09-08 20:06:01,928 ] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-09-08 20:06:01,940 ] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-09-08 20:06:01,940 ] 31 root - INFO - data Transformation completed
[2026-09-08 20:06:01,940 ] 33 root - INFO - Model Training sstared
[2026-09-08 20:08:47,174 ] 45 root - INFO - Entered the save_object method of MainUtils class
[2026-09-08 20:08:47,174 ] 49 root - INFO - Exited the save_object method of MainUtils class
[2026-09-08 20:08:47,174 ] 119 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_08_2026_20_05_35\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917506874427131, precision_score=0.9890310786106032, recall_score=0.9944852941176471), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9735908553409539, precision_score=0.9678683385579937, recall_score=0.979381443298969))
[2026-09-08 20:08:47,174 ] 38 root - INFO - Model Training artifact created
